n,k,alpha,metric,rule,win_share,mean_regret
5,5,0.1,mean_skewed,Quadratic distance,0.8392,0.007741833953939657
5,5,0.1,mean_skewed,Manhattan distance,0.0686,0.027895316969547765
5,5,0.3,coord_avg,Discrete metric,0.3598,0.032839986140244415
5,5,0.3,coord_avg,Quadratic distance,0.516,0.01245856391802184
5,5,0.3,coord_avg,Manhattan distance,0.1242,0.014631539461120585
5,5,0.3,coord_max,Discrete metric,0.1248,0.11083503426546229
5,5,0.3,coord_max,Quadratic distance,0.7586,0.00394258982101801
5,5,0.3,coord_max,Manhattan distance,0.1166,0.026568976788576698
5,5,0.3,mean_linear,Discrete metric,0.2342,0.04805421789303344
5,5,0.3,mean_linear,Quadratic distance,0.5694,0.012850229797795239
5,5,0.3,mean_linear,Manhattan distance,0.1964,0.016561116994143817
5,5,0.3,mean_skewed,Discrete metric,0.2424,0.04209366970090187
5,5,0.3,mean_skewed,Quadratic distance,0.6374,0.020612558589790813
5,5,0.3,mean_skewed,Manhattan distance,0.1202,0.02314368212049533
5,5,1.0,coord_avg,Discrete metric,0.819,0.0059560587747138245
5,5,1.0,coord_avg,Quadratic distance,0.0988,0.034318636552490865
5,5,1.0,coord_avg,Manhattan distance,0.0822,0.017579533951346815
5,5,1.0,coord_max,Discrete metric,0.3968,0.03962296333452414
5,5,1.0,coord_max,Quadratic distance,0.4026,0.012437185556746916
5,5,1.0,coord_max,Manhattan distance,0.2006,0.01560640466517405
5,5,1.0,mean_linear,Discrete metric,0.6014,0.013517740503165107
5,5,1.0,mean_linear,Quadratic distance,0.21,0.032922978598403374
5,5,1.0,mean_linear,Manhattan distance,0.1886,0.019387840147260426
5,5,1.0,mean_skewed,Discrete metric,0.4832,0.015138013055690626
5,5,1.0,mean_skewed,Quadratic distance,0.3618,0.04323934638902397
5,5,1.0,mean_skewed,Manhattan distance,0.155,0.02628399083387302
5,5,3.0,coord_avg,Discrete metric,0.9936,0.00016080556223081822
5,5,3.0,coord_avg,Quadratic distance,0.0014,0.06401698334000784
5,5,3.0,coord_avg,Manhattan distance,0.005,0.03411735039261522
5,5,3.0,coord_max,Discrete metric,0.7806,0.007853973732937163
5,5,3.0,coord_max,Quadratic distance,0.0466,0.03157708484404808
5,5,3.0,coord_max,Manhattan distance,0.1728,0.020474761779603175
5,5,3.0,mean_linear,Discrete metric,0.9148,0.0016216428645728098
5,5,3.0,mean_linear,Quadratic distance,0.0296,0.057736404769335385
5,5,3.0,mean_linear,Manhattan distance,0.0556,0.034858362867680036
5,5,3.0,mean_skewed,Discrete metric,0.731,0.0035634020640185086
5,5,3.0,mean_skewed,Quadratic distance,0.1566,0.06711406873068336
5,5,3.0,mean_skewed,Manhattan distance,0.1124,0.037886377443009975
5,5,10.0,coord_avg,Discrete metric,1.0,0.0
5,5,10.0,coord_avg,Quadratic distance,0.0,0.09190257777777114
