n,k,alpha,rule,draws,avg_coord_width_mean,avg_coord_width_median,max_coord_width_mean,max_coord_width_median,mean_linear_width_mean,mean_linear_width_median,mean_skewed_width_mean,mean_skewed_width_median,tie_rate,payment_probability_mean,payment_probability_median
10,3,0.1,Discrete metric,5000,0.11616161616161615,0.11616161616161617,0.16003181818181816,0.16666666666666663,0.11075909090909092,0.11742424242424242,0.11584545454545457,0.09090909090909091,0.0,0.6556753026028699,0.7524581184339876
10,3,0.1,Manhattan distance,5000,0.0883396756688104,0.0755517602000797,0.10516238217270117,0.09272126367385392,0.07743092534590833,0.06953775936748846,0.08820675791253145,0.07522361029979296,0.0,nan,nan
10,3,0.1,Quadratic distance,5000,0.07655333333333335,0.05555555555555555,0.08929333333333334,0.06666666666666665,0.06520500000000005,0.050000000000000155,0.07642000000000002,0.06666666666666665,0.0,nan,nan
10,3,0.3,Discrete metric,5000,0.11616161616161619,0.11616161616161617,0.1518863636363636,0.1515151515151516,0.10767348484848485,0.10606060606060608,0.11665454545454547,0.10606060606060605,0.0,0.36532291720390586,0.2645588107206249
10,3,0.3,Manhattan distance,5000,0.10258580717614045,0.10611293691050823,0.11753895067249552,0.12354816550737757,0.08664850440378585,0.0887676917332727,0.10255069716118664,0.11617660018394249,0.0,nan,nan
10,3,0.3,Quadratic distance,5000,0.09882222222222221,0.09999999999999998,0.11033333333333335,0.1166666666666667,0.08034000000000004,0.07500000000000007,0.09872,0.11666666666666664,0.0,nan,nan
10,3,1.0,Discrete metric,5000,0.11616161616161619,0.11616161616161617,0.14016060606060604,0.13636363636363635,0.10172424242424243,0.09848484848484862,0.11621666666666669,0.11363636363636365,0.0,0.1488509247534521,0.1143911413758707
10,3,1.0,Manhattan distance,5000,0.11909000824665102,0.12656185553847074,0.12865277426780294,0.13152824812867192,0.09574284274540296,0.09764775912321122,0.11901437574382412,0.12391246785790222,0.0,nan,nan
10,3,1.0,Quadratic distance,5000,0.12342444444444445,0.13333333333333333,0.12809,0.13333333333333336,0.09496500000000001,0.09999999999999998,0.12337999999999999,0.1333333333333333,0.0,nan,nan
10,3,3.0,Discrete metric,5000,0.11616161616161615,0.11616161616161617,0.13070606060606055,0.12878787878787873,0.09675984848484849,0.09469696969696978,0.1159818181818182,0.11363636363636365,0.0,0.09096952039919104,0.08395669189427375
10,3,3.0,Manhattan distance,5000,0.12683621370180664,0.12784552914510516,0.13133909843781527,0.13152824812867192,0.09851422132080147,0.09776488316300846,0.126745999891773,0.1282035643454571,0.0,nan,nan
10,3,3.0,Quadratic distance,5000,0.13268666666666665,0.13333333333333333,0.13301000000000002,0.13333333333333336,0.099665,0.10000000000000003,0.13273,0.13333333333333336,0.0,nan,nan
10,3,10.0,Discrete metric,5000,0.11616161616161615,0.11616161616161617,0.12439848484848483,0.12121212121212122,0.09314166666666669,0.090909090909091,0.11634696969696974,0.1136363636363637,0.0,0.07868750429451878,0.07758611249254492
10,3,10.0,Manhattan distance,5000,0.12792951409385997,0.12790492808396958,0.1303812514781795,0.1301601159986414,0.09788716988248866,0.09742266249938597,0.12796923340126817,0.1282035643454571,0.0,nan,nan
