n,k,alpha,metric,rule,win_share
10,2,10.0,coord_avg,Manhattan distance,0.0
10,2,10.0,coord_max,Discrete metric,1.0
10,2,10.0,coord_max,Quadratic distance,0.0
10,2,10.0,coord_max,Manhattan distance,0.0
10,2,10.0,mean_linear,Discrete metric,1.0
10,2,10.0,mean_linear,Quadratic distance,0.0
10,2,10.0,mean_linear,Manhattan distance,0.0
10,2,10.0,mean_skewed,Discrete metric,1.0
10,2,10.0,mean_skewed,Quadratic distance,0.0
10,2,10.0,mean_skewed,Manhattan distance,0.0
10,3,0.1,coord_avg,Discrete metric,0.0402
10,3,0.1,coord_avg,Quadratic distance,0.9116
10,3,0.1,coord_avg,Manhattan distance,0.0482
10,3,0.1,coord_max,Discrete metric,0.0104
10,3,0.1,coord_max,Quadratic distance,0.9356
10,3,0.1,coord_max,Manhattan distance,0.054
10,3,0.1,mean_linear,Discrete metric,0.0446
10,3,0.1,mean_linear,Quadratic distance,0.8148
10,3,0.1,mean_linear,Manhattan distance,0.1406
10,3,0.1,mean_skewed,Discrete metric,0.1298
10,3,0.1,mean_skewed,Quadratic distance,0.836
10,3,0.1,mean_skewed,Manhattan distance,0.0342
10,3,0.3,coord_avg,Discrete metric,0.2072
10,3,0.3,coord_avg,Quadratic distance,0.7152
10,3,0.3,coord_avg,Manhattan distance,0.0776
10,3,0.3,coord_max,Discrete metric,0.0692
10,3,0.3,coord_max,Quadratic distance,0.8246
10,3,0.3,coord_max,Manhattan distance,0.1062
10,3,0.3,mean_linear,Discrete metric,0.143
10,3,0.3,mean_linear,Quadratic distance,0.6104
10,3,0.3,mean_linear,Manhattan distance,0.2466
10,3,0.3,mean_skewed,Discrete metric,0.2966
10,3,0.3,mean_skewed,Quadratic distance,0.6392
10,3,0.3,mean_skewed,Manhattan distance,0.0642
10,3,1.0,coord_avg,Discrete metric,0.6454
10,3,1.0,coord_avg,Quadratic distance,0.2748
10,3,1.0,coord_avg,Manhattan distance,0.0798
10,3,1.0,coord_max,Discrete metric,0.2782
10,3,1.0,coord_max,Quadratic distance,0.5474
10,3,1.0,coord_max,Manhattan distance,0.1744
10,3,1.0,mean_linear,Discrete metric,0.4002
10,3,1.0,mean_linear,Quadratic distance,0.3266
10,3,1.0,mean_linear,Manhattan distance,0.2732
10,3,1.0,mean_skewed,Discrete metric,0.5962
10,3,1.0,mean_skewed,Quadratic distance,0.3164
10,3,1.0,mean_skewed,Manhattan distance,0.0874
10,3,3.0,coord_avg,Discrete metric,0.9666
10,3,3.0,coord_avg,Quadratic distance,0.0194
10,3,3.0,coord_avg,Manhattan distance,0.014
10,3,3.0,coord_max,Discrete metric,0.6374
10,3,3.0,coord_max,Quadratic distance,0.1996
10,3,3.0,coord_max,Manhattan distance,0.163
10,3,3.0,mean_linear,Discrete metric,0.692
10,3,3.0,mean_linear,Quadratic distance,0.135
10,3,3.0,mean_linear,Manhattan distance,0.173
10,3,3.0,mean_skewed,Discrete metric,0.8586
10,3,3.0,mean_skewed,Quadratic distance,0.0772
10,3,3.0,mean_skewed,Manhattan distance,0.0642
10,3,10.0,coord_avg,Discrete metric,1.0
10,3,10.0,coord_avg,Quadratic distance,0.0
10,3,10.0,coord_avg,Manhattan distance,0.0
10,3,10.0,coord_max,Discrete metric,0.9456
10,3,10.0,coord_max,Quadratic distance,0.009
10,3,10.0,coord_max,Manhattan distance,0.0454
10,3,10.0,mean_linear,Discrete metric,0.9402
10,3,10.0,mean_linear,Quadratic distance,0.0092
10,3,10.0,mean_linear,Manhattan distance,0.0506
10,3,10.0,mean_skewed,Discrete metric,0.9828
10,3,10.0,mean_skewed,Quadratic distance,0.002
10,3,10.0,mean_skewed,Manhattan distance,0.0152
10,5,0.1,coord_avg,Discrete metric,0.019
10,5,0.1,coord_avg,Quadratic distance,0.899
10,5,0.1,coord_avg,Manhattan distance,0.082
10,5,0.1,coord_max,Discrete metric,0.0016
10,5,0.1,coord_max,Quadratic distance,0.9564
10,5,0.1,coord_max,Manhattan distance,0.042
10,5,0.1,mean_linear,Discrete metric,0.0273
10,5,0.1,mean_linear,Quadratic distance,0.8701
10,5,0.1,mean_linear,Manhattan distance,0.1026
10,5,0.1,mean_skewed,Discrete metric,0.11
10,5,0.1,mean_skewed,Quadratic distance,0.85
10,5,0.1,mean_skewed,Manhattan distance,0.04
10,5,0.3,coord_avg,Discrete metric,0.1868
10,5,0.3,coord_avg,Quadratic distance,0.6642
10,5,0.3,coord_avg,Manhattan distance,0.149
